episode_id,source_group,source_path,stem,format,obs_shape,obs_dim,num_steps,action_min,action_max,layout,partner,seed,agent_index,role_swap,reward_sum,num_deliveries,first_delivery_t,last_delivery_t,stay_ratio,interact_ratio,has_npz,has_pkl,has_metadata_json,has_layout_file,quality_flags,quality_tier,usable_for_bc,usable_for_environment_rollout
simple_o_20260524_162601_0,97,data\97\demostrations\simple_o_20260524_162601.npz,simple_o_20260524_162601,npz,"(250, 96)",96,250,0,5,simple_o,unknown,67,1,False,40.0,2.0,154,225,0.448,0.124,True,True,True,False,ok,A,True,True
small_corridor_20260524_193104_0,97,data\97\demostrations\small_corridor_20260524_193104.npz,small_corridor_20260524_193104,npz,"(250, 96)",96,250,0,5,small_corridor,unknown,67,1,False,20.0,1.0,146,146,0.224,0.044,True,True,True,False,ok,B,True,True
small_corridor_20260524_193339_0,97,data\97\demostrations\small_corridor_20260524_193339.npz,small_corridor_20260524_193339,npz,"(250, 96)",96,250,0,5,small_corridor,unknown,67,1,False,40.0,2.0,184,199,0.148,0.044,True,True,True,False,ok,A,True,True
small_corridor_20260524_193437_0,97,data\97\demostrations\small_corridor_20260524_193437.npz,small_corridor_20260524_193437,npz,"(250, 96)",96,250,0,5,small_corridor,unknown,67,1,False,0.0,0.0,-1,-1,0.064,0.008,True,True,True,False,zero_reward,D,False,True
soup_coordination_20260524_193535_0,97,data\97\demostrations\soup_coordination_20260524_193535.npz,soup_coordination_20260524_193535,npz,"(250, 96)",96,250,0,5,soup_coordination,unknown,67,1,False,110.0,5.5,177,177,0.312,0.088,True,True,True,False,ok,A,True,True
soup_coordination_20260524_193635_0,97,data\97\demostrations\soup_coordination_20260524_193635.npz,soup_coordination_20260524_193635,npz,"(250, 96)",96,250,0,5,soup_coordination,unknown,67,1,False,110.0,5.5,244,244,0.332,0.076,True,True,True,False,ok,A,True,True
tutorial_0_20260524_193734_0,97,data\97\demostrations\tutorial_0_20260524_193734.npz,tutorial_0_20260524_193734,npz,"(250, 96)",96,250,0,5,tutorial_0,unknown,67,1,False,126.0,6.3,106,132,0.208,0.18,True,True,True,False,ok,A,True,True
tutorial_0_20260524_193832_0,97,data\97\demostrations\tutorial_0_20260524_193832.npz,tutorial_0_20260524_193832,npz,"(250, 96)",96,250,0,5,tutorial_0,unknown,67,1,False,126.0,6.3,117,198,0.496,0.132,True,True,True,False,long_repeat_56,A,True,True
chavez_room_20260524_202202_0,Attention_t,data\Attention_t\Grabaciones\chavez_room_20260524_202202.npz,chavez_room_20260524_202202,npz,"(250, 96)",96,250,0,5,chavez_room,unknown,67,1,False,172.0,8.6,79,247,0.644,0.088,True,True,True,False,ok,A,True,True
chavez_room_20260524_202404_0,Attention_t,data\Attention_t\Grabaciones\chavez_room_20260524_202404.npz,chavez_room_20260524_202404,npz,"(250, 96)",96,250,0,5,chavez_room,unknown,67,1,False,28.0,1.4,235,235,0.512,0.084,True,True,True,False,ok,B,True,True
counter_circuit_20260524_200756_0,Attention_t,data\Attention_t\Grabaciones\counter_circuit_20260524_200756.npz,counter_circuit_20260524_200756,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,0.0,0.0,-1,-1,0.428,0.068,True,True,True,False,zero_reward,C,True,True
counter_circuit_20260524_200851_0,Attention_t,data\Attention_t\Grabaciones\counter_circuit_20260524_200851.npz,counter_circuit_20260524_200851,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,0.0,0.0,-1,-1,0.44,0.064,True,True,True,False,zero_reward,C,True,True
counter_circuit_o_1order_20260524_201253_0,Attention_t,data\Attention_t\Grabaciones\counter_circuit_o_1order_20260524_201253.npz,counter_circuit_o_1order_20260524_201253,npz,"(250, 96)",96,250,0,5,counter_circuit_o_1order,unknown,67,1,False,40.0,2.0,140,246,0.388,0.112,True,True,True,False,ok,A,True,True
counter_circuit_o_1order_20260524_201349_0,Attention_t,data\Attention_t\Grabaciones\counter_circuit_o_1order_20260524_201349.npz,counter_circuit_o_1order_20260524_201349,npz,"(250, 96)",96,250,0,5,counter_circuit_o_1order,unknown,67,1,False,80.0,4.0,106,234,0.396,0.128,True,True,True,False,ok,A,True,True
cramped_corridor_20260524_213026_0,Attention_t,data\Attention_t\Grabaciones\cramped_corridor_20260524_213026.npz,cramped_corridor_20260524_213026,npz,"(250, 96)",96,250,0,5,cramped_corridor,unknown,67,1,False,215.0,10.75,127,246,0.5,0.056,True,True,True,False,ok,A,True,True
cramped_corridor_20260524_213120_0,Attention_t,data\Attention_t\Grabaciones\cramped_corridor_20260524_213120.npz,cramped_corridor_20260524_213120,npz,"(250, 96)",96,250,0,5,cramped_corridor,unknown,67,1,False,204.0,10.2,77,227,0.58,0.08,True,True,True,False,ok,A,True,True
diagonal_run_20260524_203232_0,Attention_t,data\Attention_t\Grabaciones\diagonal_run_20260524_203232.npz,diagonal_run_20260524_203232,npz,"(250, 96)",96,250,0,5,diagonal_run,unknown,67,1,False,168.0,8.4,98,186,0.548,0.108,True,True,True,False,ok,A,True,True
diagonal_run_20260524_203747_0,Attention_t,data\Attention_t\Grabaciones\diagonal_run_20260524_203747.npz,diagonal_run_20260524_203747,npz,"(250, 96)",96,250,0,5,diagonal_run,unknown,67,1,False,219.0,10.95,60,235,0.664,0.072,True,True,True,False,ok,A,True,True
forced_coordination_20260524_200548_0,Attention_t,data\Attention_t\Grabaciones\forced_coordination_20260524_200548.npz,forced_coordination_20260524_200548,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,40.0,2.0,205,223,0.376,0.16,True,True,True,False,ok,A,True,True
forced_coordination_20260524_200647_0,Attention_t,data\Attention_t\Grabaciones\forced_coordination_20260524_200647.npz,forced_coordination_20260524_200647,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,80.0,4.0,135,242,0.204,0.244,True,True,True,False,ok,A,True,True
jamcy_room_20260524_204338_0,Attention_t,data\Attention_t\Grabaciones\jamcy_room_20260524_204338.npz,jamcy_room_20260524_204338,npz,"(250, 96)",96,250,0,5,jamcy_room,unknown,67,1,False,204.0,10.2,45,216,0.648,0.112,True,True,True,False,ok,A,True,True
jamcy_room_20260524_204501_0,Attention_t,data\Attention_t\Grabaciones\jamcy_room_20260524_204501.npz,jamcy_room_20260524_204501,npz,"(250, 96)",96,250,0,5,jamcy_room,unknown,67,1,False,60.0,3.0,100,243,0.536,0.148,True,True,True,False,ok,A,True,True
m_room_20260524_204851_0,Attention_t,data\Attention_t\Grabaciones\m_room_20260524_204851.npz,m_room_20260524_204851,npz,"(250, 96)",96,250,0,5,m_room,unknown,67,1,False,90.0,4.5,63,192,0.5,0.112,True,True,True,False,ok,A,True,True
m_room_20260524_205001_0,Attention_t,data\Attention_t\Grabaciones\m_room_20260524_205001.npz,m_room_20260524_205001,npz,"(250, 96)",96,250,0,5,m_room,unknown,67,1,False,30.0,1.5,174,174,0.5,0.12,True,True,True,False,ok,B,True,True
marshmallow_experiment_20260524_212808_0,Attention_t,data\Attention_t\Grabaciones\marshmallow_experiment_20260524_212808.npz,marshmallow_experiment_20260524_212808,npz,"(250, 96)",96,250,0,5,marshmallow_experiment,unknown,67,1,False,252.0,12.6,190,194,0.26,0.236,True,True,True,False,ok,A,True,True
marshmallow_experiment_20260524_212903_0,Attention_t,data\Attention_t\Grabaciones\marshmallow_experiment_20260524_212903.npz,marshmallow_experiment_20260524_212903,npz,"(250, 96)",96,250,0,5,marshmallow_experiment,unknown,67,1,False,165.0,8.25,70,87,0.252,0.18,True,True,True,False,ok,A,True,True
maze_kitchen_20260524_205340_0,Attention_t,data\Attention_t\Grabaciones\maze_kitchen_20260524_205340.npz,maze_kitchen_20260524_205340,npz,"(250, 96)",96,250,0,5,maze_kitchen,unknown,67,1,False,90.0,4.5,75,144,0.58,0.064,True,True,True,False,ok,A,True,True
maze_kitchen_20260524_205505_0,Attention_t,data\Attention_t\Grabaciones\maze_kitchen_20260524_205505.npz,maze_kitchen_20260524_205505,npz,"(250, 96)",96,250,0,5,maze_kitchen,unknown,67,1,False,0.0,0.0,-1,-1,0.496,0.088,True,True,True,False,zero_reward,C,True,True
asymmetric_advantages_20260523_110617_0,asymmetric_advantages,data\BCSPN_TREE\Grabaciones\asymmetric_advantages\greedy_full_task\asymmetric_advantages_20260523_110617.npz,asymmetric_advantages_20260523_110617,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,4,1,False,60.0,3.0,56,213,0.428,0.124,True,True,True,False,ok,A,True,True
asymmetric_advantages_20260523_110420_0,asymmetric_advantages,data\BCSPN_TREE\Grabaciones\asymmetric_advantages\stay\asymmetric_advantages_20260523_110420.npz,asymmetric_advantages_20260523_110420,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,3,1,False,40.0,2.0,211,224,0.396,0.124,True,True,True,False,ok,A,True,True
cocina_abierta_20260523_111821_0,cocina_abierta,data\BCSPN_TREE\Grabaciones\cocina_abierta\random_motion\cocina_abierta_20260523_111821.npz,cocina_abierta_20260523_111821,npz,"(250, 96)",96,250,0,5,,unknown,12,1,False,40.0,2.0,81,200,0.392,0.12,True,True,True,False,ok,A,True,True
cocina_abierta_20260523_111642_0,cocina_abierta,data\BCSPN_TREE\Grabaciones\cocina_abierta\stay\cocina_abierta_20260523_111642.npz,cocina_abierta_20260523_111642,npz,"(250, 96)",96,250,0,5,,unknown,11,1,False,40.0,2.0,90,193,0.44,0.116,True,True,True,False,ok,A,True,True
coordination_ring_20260523_110914_0,coordination_ring,data\BCSPN_TREE\Grabaciones\coordination_ring\greedy_full_task\coordination_ring_20260523_110914.npz,coordination_ring_20260523_110914,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,6,1,False,0.0,0.0,-1,-1,0.404,0.1,True,True,True,False,zero_reward,C,True,True
coordination_ring_20260523_110756_0,coordination_ring,data\BCSPN_TREE\Grabaciones\coordination_ring\random_motion\coordination_ring_20260523_110756.npz,coordination_ring_20260523_110756,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,5,1,False,20.0,1.0,149,149,0.38,0.092,True,True,True,False,ok,B,True,True
counter_circuit_20260523_111224_0,counter_circuit,data\BCSPN_TREE\Grabaciones\counter_circuit\greedy_full_task\counter_circuit_20260523_111224.npz,counter_circuit_20260523_111224,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,8,1,False,0.0,0.0,-1,-1,0.476,0.112,True,True,True,False,zero_reward,C,True,True
counter_circuit_20260523_111048_0,counter_circuit,data\BCSPN_TREE\Grabaciones\counter_circuit\random_motion\counter_circuit_20260523_111048.npz,counter_circuit_20260523_111048,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,7,1,False,0.0,0.0,-1,-1,0.428,0.084,True,True,True,False,zero_reward,C,True,True
cramped_room_20260523_105703_0,cramped_room,data\BCSPN_TREE\Grabaciones\cramped_room\greedy_full_task\cramped_room_20260523_105703.npz,cramped_room_20260523_105703,npz,"(250, 96)",96,250,0,5,cramped_room,unknown,1,1,False,80.0,4.0,42,172,0.568,0.072,True,True,True,False,ok,A,True,True
cramped_room_20260523_110022_0,cramped_room,data\BCSPN_TREE\Grabaciones\cramped_room\stay\cramped_room_20260523_110022.npz,cramped_room_20260523_110022,npz,"(250, 96)",96,250,0,5,cramped_room,unknown,2,1,False,0.0,0.0,-1,-1,0.488,0.092,True,True,True,False,zero_reward,C,True,True
dos_ollas_20260523_112242_0,dos_ollas,data\BCSPN_TREE\Grabaciones\dos_ollas\greedy_full_task\dos_ollas_20260523_112242.npz,dos_ollas_20260523_112242,npz,"(250, 96)",96,250,0,5,,unknown,15,1,False,140.0,7.0,50,222,0.324,0.18,True,True,True,False,ok,A,True,True
dos_ollas_20260523_112359_0,dos_ollas,data\BCSPN_TREE\Grabaciones\dos_ollas\stay\dos_ollas_20260523_112359.npz,dos_ollas_20260523_112359,npz,"(250, 96)",96,250,0,5,,unknown,16,1,False,60.0,3.0,71,194,0.428,0.192,True,True,True,False,ok,A,True,True
duelo_1v1_20260523_114023_0,duelo_1v1,data\BCSPN_TREE\Grabaciones\duelo_1v1\greedy_full_task\duelo_1v1_20260523_114023.npz,duelo_1v1_20260523_114023,npz,"(250, 96)",96,250,0,5,,unknown,19,1,False,60.0,3.0,59,180,0.428,0.184,True,True,True,False,ok,A,True,True
duelo_1v1_20260523_114140_0,duelo_1v1,data\BCSPN_TREE\Grabaciones\duelo_1v1\random_motion\duelo_1v1_20260523_114140.npz,duelo_1v1_20260523_114140,npz,"(250, 96)",96,250,0,5,,unknown,20,1,False,80.0,4.0,57,231,0.368,0.216,True,True,True,False,ok,A,True,True
forced_coordination_20260523_111516_0,forced_coordination,data\BCSPN_TREE\Grabaciones\forced_coordination\random_motion\forced_coordination_20260523_111516.npz,forced_coordination_20260523_111516,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,10,1,False,0.0,0.0,-1,-1,0.736,0.044,True,True,True,False,zero_reward|long_repeat_139,C,True,True
forced_coordination_20260523_111352_0,forced_coordination,data\BCSPN_TREE\Grabaciones\forced_coordination\stay\forced_coordination_20260523_111352.npz,forced_coordination_20260523_111352,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,9,1,False,0.0,0.0,-1,-1,0.528,0.052,True,True,True,False,zero_reward|long_repeat_76,C,True,True
isla_central_20260523_111946_0,isla_central,data\BCSPN_TREE\Grabaciones\isla_central\greedy_full_task\isla_central_20260523_111946.npz,isla_central_20260523_111946,npz,"(250, 96)",96,250,0,5,,unknown,13,1,False,140.0,7.0,58,245,0.516,0.108,True,True,True,False,ok,A,True,True
isla_central_20260523_112104_0,isla_central,data\BCSPN_TREE\Grabaciones\isla_central\random_motion\isla_central_20260523_112104.npz,isla_central_20260523_112104,npz,"(250, 96)",96,250,0,5,,unknown,14,1,False,60.0,3.0,52,204,0.376,0.172,True,True,True,False,ok,A,True,True
sala_obstaculo_20260523_112710_0,sala_obstaculo,data\BCSPN_TREE\Grabaciones\sala_obstaculo\random_motion\sala_obstaculo_20260523_112710.npz,sala_obstaculo_20260523_112710,npz,"(250, 96)",96,250,0,5,,unknown,18,1,False,40.0,2.0,149,247,0.388,0.124,True,True,True,False,ok,A,True,True
sala_obstaculo_20260523_112558_0,sala_obstaculo,data\BCSPN_TREE\Grabaciones\sala_obstaculo\stay\sala_obstaculo_20260523_112558.npz,sala_obstaculo_20260523_112558,npz,"(250, 96)",96,250,0,5,,unknown,17,1,False,40.0,2.0,78,167,0.404,0.132,True,True,True,False,ok,A,True,True
asymmetric_advantages_20260523_192027_0,DAVID_CPP,data\DAVID_CPP\demonstrations\asymmetric_advantages_20260523_192027.npz,asymmetric_advantages_20260523_192027,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,67,1,False,20.0,1.0,193,193,0.472,0.144,True,True,True,False,ok,B,True,True
asymmetric_advantages_20260523_192143_0,DAVID_CPP,data\DAVID_CPP\demonstrations\asymmetric_advantages_20260523_192143.npz,asymmetric_advantages_20260523_192143,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,67,1,False,20.0,1.0,57,57,0.532,0.112,True,True,True,False,ok,B,True,True
coordination_ring_20260523_192242_0,DAVID_CPP,data\DAVID_CPP\demonstrations\coordination_ring_20260523_192242.npz,coordination_ring_20260523_192242,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,67,1,False,0.0,0.0,-1,-1,0.428,0.084,True,True,True,False,zero_reward,C,True,True
coordination_ring_20260523_192352_0,DAVID_CPP,data\DAVID_CPP\demonstrations\coordination_ring_20260523_192352.npz,coordination_ring_20260523_192352,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,67,1,False,0.0,0.0,-1,-1,0.436,0.104,True,True,True,False,zero_reward,C,True,True
counter_circuit_20260523_192458_0,DAVID_CPP,data\DAVID_CPP\demonstrations\counter_circuit_20260523_192458.npz,counter_circuit_20260523_192458,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,55.0,2.75,130,130,0.428,0.052,True,True,True,False,ok,A,True,True
counter_circuit_20260523_192557_0,DAVID_CPP,data\DAVID_CPP\demonstrations\counter_circuit_20260523_192557.npz,counter_circuit_20260523_192557,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,47.0,2.35,213,213,0.296,0.06,True,True,True,False,ok,A,True,True
cramped_room_20260523_191910_0,DAVID_CPP,data\DAVID_CPP\demonstrations\cramped_room_20260523_191910.npz,cramped_room_20260523_191910,npz,"(250, 96)",96,250,0,5,cramped_room,unknown,67,1,False,60.0,3.0,40,184,0.608,0.096,True,True,True,False,ok,A,True,True
cramped_room_20260523_191946_0,DAVID_CPP,data\DAVID_CPP\demonstrations\cramped_room_20260523_191946.npz,cramped_room_20260523_191946,npz,"(250, 96)",96,250,0,5,cramped_room,unknown,67,1,False,0.0,0.0,-1,-1,0.552,0.104,True,True,True,False,zero_reward,C,True,True
forced_coordination_20260523_192657_0,DAVID_CPP,data\DAVID_CPP\demonstrations\forced_coordination_20260523_192657.npz,forced_coordination_20260523_192657,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,0.0,0.0,-1,-1,0.304,0.076,True,True,True,False,zero_reward,C,True,True
forced_coordination_20260523_192817_0,DAVID_CPP,data\DAVID_CPP\demonstrations\forced_coordination_20260523_192817.npz,forced_coordination_20260523_192817,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,60.0,3.0,117,246,0.568,0.164,True,True,True,False,ok,A,True,True
large_room_20260524_145027_0,DAVID_CPP,data\DAVID_CPP\demonstrations\large_room_20260524_145027.npz,large_room_20260524_145027,npz,"(250, 96)",96,250,0,5,large_room,unknown,67,1,False,20.0,1.0,228,228,0.284,0.124,True,True,True,False,ok,B,True,True
large_room_20260524_145100_0,DAVID_CPP,data\DAVID_CPP\demonstrations\large_room_20260524_145100.npz,large_room_20260524_145100,npz,"(250, 96)",96,250,0,5,large_room,unknown,67,1,False,0.0,0.0,-1,-1,0.32,0.18,True,True,True,False,zero_reward,C,True,True
simple_o_20260524_145318_0,DAVID_CPP,data\DAVID_CPP\demonstrations\simple_o_20260524_145318.npz,simple_o_20260524_145318,npz,"(250, 96)",96,250,0,5,simple_o,unknown,67,1,False,120.0,6.0,37,230,0.444,0.088,True,True,True,False,ok,A,True,True
simple_o_20260524_145407_0,DAVID_CPP,data\DAVID_CPP\demonstrations\simple_o_20260524_145407.npz,simple_o_20260524_145407,npz,"(250, 96)",96,250,0,5,simple_o,unknown,67,1,False,20.0,1.0,199,199,0.372,0.152,True,True,True,False,ok,B,True,True
simple_tomato_20260524_145549_0,DAVID_CPP,data\DAVID_CPP\demonstrations\simple_tomato_20260524_145549.npz,simple_tomato_20260524_145549,npz,"(250, 96)",96,250,0,5,simple_tomato,unknown,67,1,False,0.0,0.0,-1,-1,0.492,0.124,True,True,True,False,zero_reward,C,True,True
simple_tomato_20260524_145628_0,DAVID_CPP,data\DAVID_CPP\demonstrations\simple_tomato_20260524_145628.npz,simple_tomato_20260524_145628,npz,"(250, 96)",96,250,0,5,simple_tomato,unknown,67,1,False,0.0,0.0,-1,-1,0.488,0.136,True,True,True,False,zero_reward,C,True,True
small_corridor_20260524_144706_0,DAVID_CPP,data\DAVID_CPP\demonstrations\small_corridor_20260524_144706.npz,small_corridor_20260524_144706,npz,"(250, 96)",96,250,0,5,small_corridor,unknown,67,1,False,0.0,0.0,-1,-1,0.316,0.036,True,True,True,False,zero_reward,C,True,True
small_corridor_20260524_144750_0,DAVID_CPP,data\DAVID_CPP\demonstrations\small_corridor_20260524_144750.npz,small_corridor_20260524_144750,npz,"(250, 96)",96,250,0,5,small_corridor,unknown,67,1,False,0.0,0.0,-1,-1,0.724,0.044,True,True,True,False,zero_reward,C,True,True
soup_coordination_20260524_144512_0,DAVID_CPP,data\DAVID_CPP\demonstrations\soup_coordination_20260524_144512.npz,soup_coordination_20260524_144512,npz,"(250, 96)",96,250,0,5,soup_coordination,unknown,67,1,False,86.0,4.3,65,179,0.444,0.132,True,True,True,False,ok,A,True,True
soup_coordination_20260524_144617_0,DAVID_CPP,data\DAVID_CPP\demonstrations\soup_coordination_20260524_144617.npz,soup_coordination_20260524_144617,npz,"(250, 96)",96,250,0,5,soup_coordination,unknown,67,1,False,0.0,0.0,-1,-1,0.768,0.052,True,True,True,False,zero_reward,C,True,True
asymmetric_advantages_20260520_111454_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\asymmetric_advantages_20260520_111454.npz,asymmetric_advantages_20260520_111454,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,67,1,False,60.0,3.0,63,216,0.396,0.152,True,True,True,False,ok,A,True,True
asymmetric_advantages_20260520_111647_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\asymmetric_advantages_20260520_111647.npz,asymmetric_advantages_20260520_111647,npz,"(250, 96)",96,250,0,5,asymmetric_advantages,unknown,67,1,False,40.0,2.0,158,174,0.436,0.14,True,True,True,False,ok,A,True,True
coordination_ring_20260519_185128_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\coordination_ring_20260519_185128.npz,coordination_ring_20260519_185128,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,67,1,False,0.0,0.0,-1,-1,0.628,0.056,True,True,True,False,zero_reward,C,True,True
coordination_ring_20260520_110957_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\coordination_ring_20260520_110957.npz,coordination_ring_20260520_110957,npz,"(250, 96)",96,250,0,5,coordination_ring,unknown,67,1,False,40.0,2.0,171,176,0.564,0.084,True,True,True,False,ok,A,True,True
counter_circuit_20260520_111133_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\counter_circuit_20260520_111133.npz,counter_circuit_20260520_111133,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,0.0,0.0,-1,-1,0.38,0.092,True,True,True,False,zero_reward,C,True,True
counter_circuit_20260520_111326_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\counter_circuit_20260520_111326.npz,counter_circuit_20260520_111326,npz,"(250, 96)",96,250,0,5,counter_circuit,unknown,67,1,False,0.0,0.0,-1,-1,0.332,0.1,True,True,True,False,zero_reward,C,True,True
cramped_room_20260519_184806_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\cramped_room_20260519_184806.npz,cramped_room_20260519_184806,npz,"(250, 96)",96,250,0,5,cramped_room,unknown,67,1,False,0.0,0.0,-1,-1,0.628,0.128,True,True,True,False,zero_reward,C,True,True
cramped_room_20260519_184916_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\cramped_room_20260519_184916.npz,cramped_room_20260519_184916,npz,"(250, 96)",96,250,0,5,cramped_room,unknown,67,1,False,80.0,4.0,40,201,0.724,0.08,True,True,True,False,ok,A,True,True
custom_room_20260519_184400_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\custom_room_20260519_184400.npz,custom_room_20260519_184400,npz,"(250, 96)",96,250,0,5,custom_room,unknown,67,1,False,80.0,4.0,54,226,0.768,0.072,True,True,True,False,ok,A,True,True
custom_room_20260519_184611_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\custom_room_20260519_184611.npz,custom_room_20260519_184611,npz,"(250, 96)",96,250,0,5,custom_room,unknown,67,1,False,0.0,0.0,-1,-1,0.604,0.24,True,True,True,False,zero_reward,C,True,True
forced_coordination_20260520_111818_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\forced_coordination_20260520_111818.npz,forced_coordination_20260520_111818,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,0.0,0.0,-1,-1,0.568,0.148,True,True,True,False,zero_reward,C,True,True
forced_coordination_20260520_111932_0,Deep_Dynamite,data\Deep_Dynamite\Grabaciones\forced_coordination_20260520_111932.npz,forced_coordination_20260520_111932,npz,"(250, 96)",96,250,0,5,forced_coordination,unknown,67,1,False,80.0,4.0,98,199,0.496,0.208,True,True,True,False,ok,A,True,True
